,hhid,longitude,latitude,altitude,kebele
19097,DT0102202,37.7538,12.97406,2599,DT01
19098,DT0102201,37.75468,12.97464,2590,DT01
19099,DT0102200,37.75367,12.97267,2592,DT01
19100,DT0102196,37.75416,12.97563,2593,DT01
19101,DT0102194,37.76541,12.98387,2572,DT01
19102,DT0102195,37.76541,12.98387,2572,DT01
19103,DT0102193,37.75569,12.97305,2586,DT01
19104,DT0102192,37.75589,12.97404,2580,DT01
19105,DT0102191,37.7,12.97422,2597,DT01
19106,DT0102190,37.75483,12.97687,2593,DT01
19107,DT0102189,37.75321,12.97355,2594,DT01
19108,DT0102188,37.75453,12.97496,2586,DT01
19109,DT0102187,37.75421,12.97647,2585,DT01
19110,DT0102182,37.75585,12.97786,2571,DT01
19111,DT0102183,37.75585,12.97786,2571,DT01
19112,DT0102181,37.75586,12.97736,2570,DT01
19113,DT0102180,37.75423,12.97642,2583,DT01
19114,DT0102177,37.75641,12.9738,2582,DT01
19115,DT0102178,37.75641,12.9738,2582,DT01
19116,DT0102179,37.75641,12.9738,2582,DT01
19117,DT0102174,37.754,12.97285,2589,DT01
19118,DT0102173,37.75695,12.97415,2576,DT01
19119,DT0102172,37.75482,12.97565,2590,DT01
19120,DT0102171,37.75349,12.97315,2591,DT01
19121,DT0102170,37.75315,12.97505,2583,DT01
19122,DT0102169,37.75523,12.97539,2588,DT01
19123,DT0102165,37.75571,12.97706,2593,DT01
19124,DT0102164,37.75219,12.97581,2571,DT01
19125,DT0102159,37.75301,12.97401,2592,DT01
19126,DT0102158,37.75534,12.9757,2585,DT01
19127,DT0102157,37.75528,12.97675,2572,DT01
19128,DT0102155,37.75297,12.97476,2580,DT01
19129,DT0102154,37.75297,12.97476,2580,DT01
19130,DT0102153,37.75458,12.97387,2598,DT01
19131,DT0102149,37.75386,12.97365,2591,DT01
19132,DT0102146,37.75386,12.97365,2591,DT01
19133,DT0102145,37.75386,12.97365,2591,DT01
19134,DT0102144,37.75386,12.97365,2591,DT01
19135,DT0102143,37.75386,12.97365,2591,DT01
19136,DT0102142,37.75386,12.97365,2591,DT01
19137,DT0102141,37.75386,12.97365,2591,DT01
19138,DT0102140,37.75386,12.97365,2591,DT01
19139,DT0102139,37.75525,12.97618,2577,DT01
19140,DT0102138,37.75451,12.97239,2593,DT01
19141,DT0102137,37.75451,12.97239,2593,DT01
19142,DT0101431,37.7634,12.98189,2625,DT01
19143,DT0102136,37.7532,12.97203,2585,DT01
19144,DT0102134,37.75548,12.97715,2571,DT01
19145,DT0102132,37.75581,12.97668,2589,DT01
19146,DT0102131,37.75585,12.9767,2590,DT01
19147,DT0102130,37.75543,12.97581,2581,DT01
19148,DT0102129,37.75591,12.97632,2586,DT01
