hhid,Q501,Q502,Q503,Q5041,Q5042,Q5043,Q5044,Q5045,Q5045s,Q505,Q506,Q507,Q508,Q509,Q510,Q511,Q512,Q513,Q514,Q515,Q516,Q517,Q518,Q519,Q520,Q521,Q522,Q523,Q5231,Q5232,Q5233,Q5234,Q5235,Q5236,Q5236s,Q524,Q525,Q5261,Q5262,Q5263,Q5264,Q5265,Q5266,Q5266s,Q527,Q528,Q529,Q530,Q531
DT0600707,5,5,2,1,2,2,2,2,,1,2,1,2,1,2,2,,1,2,1,2,2,,2,,2,,2,1,2,1,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0101600,0,,,2,2,2,2,1,from familly,2,,2,,1,1,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT1300255,1,,1,1,1,2,2,2,,1,3,1,3,1,3,2,,1,3,1,3,1,2,1,2,2,,2,1,1,1,2,,2,,2,,1,2,2,2,2,2,,1,40,2,2,
DT0700494,1,1,1,1,1,2,2,2,,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,2,1,2,,,,,1,,,,2,,2,2,2,2,2,2,,1,90,0,2,
dt0700835,4,4,1,1,2,2,2,2,,1,1,1,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,,,,,,,,1,2,1,2,1,2,2,2,,2,,,1,2
DT0400310,7,0.5,2,1,1,2,2,2,,2,,1,2,1,2,2,,2,,2,,2,,2,,2,,2,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,5,0,2,
DT0800504,6,6,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0802189,3,3,1,1,2,2,2,2,,2,,1,2,2,,1,2,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0800507,8,4,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0800508,0.03,0.03,1,1,2,2,2,2,,1,2,1,1,1,2,1,2,1,2,1,2,2,,2,,2,,2,2,1,2,2,,2,,1,2,1,2,2,2,2,2,,2,,,1,2
DT0100745,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0800159,5,4,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0200613,0,,,2,1,2,2,2,,1,2,1,2,1,2,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0800514,5,3,1,1,2,2,2,2,,1,2,1,2,1,2,1,2,1,2,1,2,2,,2,,2,,2,2,1,2,2,,2,,1,3,1,2,2,2,2,2,,1,40,0,2,
DT1202200,1,1,1,1,2,2,2,2,,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,,2,,2,2,1,2,2,,2,,1,2,2,2,1,2,2,2,,2,,,2,
dt0701146,1,1,1,1,1,2,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,,,,,,,,,2,,2,2,2,2,2,2,,1,90,0,2,
DT0800519,5,3,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0800364,4,2,1,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,2,,,2,
DT1100781,0,,,2,1,2,2,1,,1,2,1,2,1,2,1,2,1,2,1,2,2,,2,,2,,2,2,1,2,2,,1,PRIVATE,1,4,2,2,2,2,2,2,,2,,,2,
DT0500400,4,4,1,1,2,2,1,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,45,0,2,
DT0800525,2,2,1,1,2,2,2,2,,1,2,1,2,1,2,1,2,1,2,1,2,2,,2,,2,,2,2,1,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0201106,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1200528,4,2,1,1,2,2,2,2,,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,1,2,2,,2,,1,2,1,2,2,2,2,2,,2,,,2,
DT0102300,0,,,2,1,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,2,,,2,
DT0800530,5,5,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,30,0,2,
DT0900750,0,,,2,1,2,2,2,,1,2,1,2,1,3,1,2,1,3,1,2,1,2,1,2,1,2,2,1,2,2,2,,1,daily work,2,,1,2,2,2,2,2,,2,,,2,
DT0101461,2.5,2.5,2,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,1,4,0,2,
DT0800533,1,1,1,1,2,2,2,2,,1,3,1,3,1,3,2,,1,3,1,3,2,,2,,2,,2,1,2,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT1201507,2,2,1,1,1,2,2,2,,1,1,1,2,1,1,1,1,1,2,1,2,2,,2,,2,,2,2,2,1,2,,2,,2,,2,2,1,2,2,2,,1,120,2,2,
DT1100607,1,1,1,1,2,2,2,2,,1,3,1,2,1,2,1,2,1,2,1,2,2,,2,,2,,2,2,1,2,2,,2,,2,,2,2,2,2,2,2,,2,,,2,
DT0200742,0,,,2,1,2,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,4,1,2,2,2,2,2,,2,,,2,
DT0300776,3,3,2,1,2,2,2,2,,1,1,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,1,10,0,2,
DT1000669,0,,,2,2,2,2,2,,1,2,1,2,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,2,,1,2,2,2,2,2,,1,24,0,2,
dt0400690,4,4,2,1,2,2,2,2,,1,3,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,45,0,2,
DT0600561,2,2,2,1,1,2,2,1,loan,2,,2,,1,2,2,,2,,2,,2,,2,,2,,2,2,1,2,2,,2,,1,3,1,2,2,2,2,2,,2,,,2,
DT0102554,0,,,2,2,2,2,1,purchase,1,2,1,2,1,2,2,,1,2,1,2,2,,2,,2,,2,1,2,2,2,,1,family bemilelake,2,,1,2,2,2,2,2,,2,,,2,
DT0300486,7,7,2,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,2,1,2,2,2,2,2,,1,10,0,2,
DT0300188,6,6,1,1,2,2,2,2,,2,,2,,2,,2,,2,,2,,2,,2,,2,,1,2,2,2,2,,2,,1,3,1,2,2,2,2,2,,1,15,0,2,
DT1201444,1,1,1,1,1,2,2,2,,1,2,1,2,1,3,1,2,1,2,1,1,2,,2,,2,,2,1,2,2,2,,2,,2,,1,2,1,2,2,2,,1,120,2,2,
