hhid,Q401,Q406,Q301,Q302,Q304,Q306,Q307,Q308m,Qsou_inform,Q3098,Q3099,Q30910,Q30911,Q3098n,Q3099n,Q30910n,Q30911n,Q30912n,Q30913n,Q30914n,Q30915n
DT1000872,2.0,2.0,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT0102399,1.0,2.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0601162,1.0,2.0,1,1,1,4,2,0,0,0,1,0,0,0,2,0,0,0,0,0.0,0.0
DT0600276,1.0,2.0,2,1,1,3,2,0,1,1,1,0,0,1,2,0,0,1,0,0.0,0.0
DT0601160,1.0,2.0,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0
DT0401059,1.0,2.0,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT1301099,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1101004,1.0,2.0,2,1,2,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0.0,0.0
DT1100308,1.0,2.0,2,1,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0601155,1.0,2.0,2,1,1,3,2,0,0,1,0,1,0,1,0,1,0,1,0,0.0,0.0
DT1101195,1.0,2.0,2,1,1,1,2,0,1,1,0,1,0,1,0,1,0,1,1,0.0,0.0
DT0601153,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
dt0700924,2.0,2.0,1,1,1,3,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0800243,2.0,2.0,1,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1300232,2.0,2.0,1,1,1,4,1,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0601149,1.0,2.0,2,1,1,3,2,0,0,1,1,0,0,1,1,0,0,0,0,0.0,0.0
DT1201616,2.0,2.0,2,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0601147,2.0,2.0,2,1,1,3,2,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0
DT1001168,2.0,2.0,2,1,1,3,2,0,0,1,1,1,0,1,1,1,0,0,0,0.0,0.0
DT0601145,1.0,2.0,1,1,1,3,2,0,1,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1201788,2.0,2.0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0300593,2.0,2.0,2,1,1,3,2,0,1,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0600485,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,0,0,0.0,0.0
DT0501177,1.0,2.0,2,1,1,4,2,0,0,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT1200289,2.0,2.0,1,1,1,3,2,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0
DT0100341,1.0,2.0,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0600913,1.0,2.0,2,1,1,2,2,0,2,1,1,1,1,1,2,1,1,1,0,0.0,0.0
dt1100408,1.0,2.0,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT1300296,2.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT0100141,1.0,2.0,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0501169,1.0,2.0,2,1,1,4,2,0,0,1,1,1,0,1,1,1,0,1,0,0.0,0.0
DT0101665,1.0,2.0,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0.0,0.0
DT0601130,1.0,2.0,2,1,1,4,2,1,1,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0801050,2.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0601127,1.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,2,1,1,0,0,0.0,0.0
DT1201800,2.0,2.0,2,1,1,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT1000102,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0300205,2.0,2.0,2,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,0,0.0,0.0
DT0601321,1.0,2.0,2,1,1,3,2,0,1,1,1,1,1,1,2,1,1,1,0,0.0,0.0
DT0500663,2.0,2.0,2,1,1,3,2,0,0,0,0,0,1,0,0,0,1,1,0,0.0,0.0
DT0800557,2.0,2.0,1,1,1,3,2,0,0,0,1,1,1,0,1,1,1,1,0,0.0,0.0
DT0300533,2.0,2.0,2,1,1,3,2,0,1,1,1,0,1,1,2,0,1,1,0,0.0,0.0
DT0600455,2.0,2.0,2,1,1,3,2,0,0,1,1,0,0,1,2,0,0,1,0,0.0,0.0
DT0700091,2.0,2.0,1,1,1,3,2,0,0,1,0,1,1,1,0,1,1,1,0,0.0,0.0
DT1100261,1.0,2.0,2,1,1,1,3,1,2,0,0,0,0,0,0,0,0,1,1,0.0,0.0
dt0400546,1.0,2.0,2,1,1,3,2,0,0,1,1,0,0,1,1,0,0,1,0,0.0,0.0
DT1200042,2.0,2.0,1,1,1,3,1,0,1,1,1,1,1,1,1,1,1,1,0,0.0,0.0
dt1100670,1.0,2.0,2,1,2,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0
DT0100353,1.0,2.0,2,1,2,4,3,1,1,0,0,0,1,0,0,0,1,1,1,0.0,0.0
DT1100524,1.0,1.0,2,1,2,3,3,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0
DT0701041,2.0,2.0,2,1,1,3,2,0,0,1,1,0,1,1,1,0,1,1,0,0.0,0.0
DT1000369,1.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT0801772,2.0,2.0,1,1,1,4,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
DT1300885,2.0,2.0,2,1,1,3,2,0,2,1,1,1,0,1,2,1,0,1,0,0.0,0.0
DT1100205,1.0,2.0,2,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0
DT1201381,2.0,2.0,2,1,1,3,2,0,1,1,1,0,1,1,2,0,1,1,0,0.0,0.0
DT0601099,1.0,2.0,2,1,1,3,2,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0.0
DT0201423,1.0,2.0,2,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0
DT0300441,2.0,2.0,2,1,1,3,2,0,0,1,0,0,1,1,0,0,1,1,0,0.0,0.0
