hhid,hh_members,sex,hh_education,residence,age,altitude,Q401,Q304,Q306,Q307,Q308m,Qsou_inform,Q504,Q5231,Q5232,Q5233,Q5234,Q524,main_occupation,marital_status,Q3098n,Q3099n,Q30910n,Q30911n,food_secured
DT0100307,0,1,3,0,2,2,1,1,1,3,1,2,2,2,2,2,2,2,4,1,1,0,0,0,1
DT0100308,0,0,3,0,0,2,1,2,1,3,0,2,5,1,2,2,2,2,0,3,0,0,0,0,0
DT0100309,0,0,0,0,1,2,1,3,1,2,0,0,5,1,2,2,2,2,3,3,0,0,0,0,0
DT0100311,0,0,3,0,0,2,1,2,4,3,0,3,2,2,2,2,2,1,2,3,0,0,1,0,0
DT0100312,0,0,3,0,1,2,1,3,1,2,1,2,5,2,2,2,2,2,2,3,0,0,0,0,1
DT0100313,0,0,1,0,1,2,1,3,1,2,0,0,5,1,2,2,2,2,3,4,0,0,0,0,0
DT0100314,1,0,0,0,1,2,1,3,1,2,1,0,2,1,2,2,2,2,2,3,0,0,0,0,0
DT0100315,0,0,0,0,1,2,1,3,1,2,1,0,2,1,2,2,2,2,2,4,0,0,0,0,0
DT0100316,0,0,1,0,2,2,1,3,1,2,0,1,5,1,1,2,2,2,3,3,0,0,0,0,0
DT0100317,1,1,2,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,2,1,0,0,0,0,1
DT0100318,0,0,0,0,1,2,1,1,1,3,0,0,1,2,2,2,2,2,2,4,0,0,0,0,0
DT0100319,1,1,3,0,1,2,1,3,1,2,1,2,2,2,2,2,2,2,3,1,0,2,1,1,0
DT0100321,1,0,1,0,1,2,1,1,4,3,1,2,2,2,2,2,2,2,3,0,0,0,0,0,0
DT0100322,1,0,0,0,1,2,1,1,1,3,0,2,2,2,2,2,2,2,2,4,0,0,0,0,1
DT0100323,0,1,2,0,0,2,1,2,1,3,0,3,2,2,2,2,2,2,3,1,0,0,0,0,1
DT0100324,0,0,1,0,1,2,1,2,1,3,1,1,2,2,2,2,2,2,3,4,0,0,0,0,1
DT0100326,0,1,1,0,2,2,1,1,1,3,0,1,2,2,2,2,2,2,3,1,0,0,0,0,0
DT0100327,0,1,4,0,0,2,1,2,1,3,1,2,2,2,2,2,2,2,4,1,0,0,0,0,0
DT0100328,0,1,4,0,0,2,1,2,1,3,1,1,2,2,2,2,2,2,4,2,0,0,0,0,1
DT0100330,0,0,2,0,1,2,1,2,1,3,0,2,5,2,2,2,2,1,3,3,0,0,0,0,1
DT0100331,0,0,0,0,2,2,1,1,1,3,0,2,2,2,2,2,2,2,4,3,0,0,0,0,0
DT0100332,1,1,1,0,1,2,1,1,1,3,1,2,2,2,2,2,2,2,3,1,0,0,0,0,1
DT0100333,1,1,0,0,0,2,1,3,1,4,1,2,2,2,2,2,2,2,2,1,0,0,0,0,1
