hhid,longitude,latitude,altitude,kebele
DT1300880,37.8779,12.97451,2,DT13
DT1300879,37.87794,12.97446,2,DT13
DT1301387,37.87794,12.97446,2,DT13
DT1300878,37.87794,12.97317,2,DT13
DT1300877,37.87853,12.97343,2,DT13
DT1300876,37.87829,12.97356,2,DT13
DT1300875,37.87823,12.9737,2,DT13
DT1300874,37.87818,12.97391,2,DT13
DT1300873,37.87825,12.97406,2,DT13
DT1300872,37.87836,12.974169999999999,2,DT13
DT1300871,37.8784,12.97412,2,DT13
DT1300870,37.87853,12.9739,2,DT13
DT1300869,37.87888,12.97348,2,DT13
DT1300868,37.87888,12.97359,2,DT13
DT1300867,37.87932,12.97358,2,DT13
DT1301403,37.88665,12.975589999999999,2,DT13
DT1300866,37.82894,12.974260000000001,2,DT13
DT1300865,37.87918,12.974160000000001,2,DT13
DT1300864,37.87665,12.9742,2,DT13
DT1300863,37.87968,12.9742,2,DT13
DT1300862,37.8792,12.974680000000001,2,DT13
DT1300861,37.87948,12.97472,2,DT13
DT1300860,37.88003,12.97503,2,DT13
DT1300859,37.87965,12.97532,2,DT13
DT1300858,37.880179999999996,12.975589999999999,2,DT13
DT1300857,37.8802,12.97568,2,DT13
DT1300856,37.880140000000004,12.97567,2,DT13
DT1301385,37.88216,12.97532,2,DT13
DT1300855,37.88216,12.97527,2,DT13
DT1300854,37.8839,12.98017,2,DT13
DT1300853,37.88405,12.9815,2,DT13
DT1300852,37.88408,12.9814,2,DT13
DT1300851,37.88476,12.981760000000001,2,DT13
DT1300850,37.88476,12.981760000000001,2,DT13
DT1300849,37.88532,12.981819999999999,2,DT13
DT1300848,37.8854,12.98121,2,DT13
DT1300847,37.88554,12.98104,2,DT13
DT1300846,37.88579,12.98124,2,DT13
DT1300845,37.88621,12.98146,2,DT13
DT1300844,37.88615,12.98133,2,DT13
DT1300843,37.8862,12.98124,2,DT13
DT1300842,37.88621,12.981010000000001,2,DT13
DT1300841,37.88657,12.98131,2,DT13
DT1300840,37.886509999999994,12.98157,2,DT13
DT1300839,37.88619,12.98081,2,DT13
DT1300838,37.885490000000004,12.98018,2,DT13
DT1300837,37.88554,12.98028,2,DT13
DT1300836,37.885690000000004,12.98025,2,DT13
DT1300835,37.88595,12.979989999999999,2,DT13
DT1300834,37.88644,12.97967,2,DT13
DT1300833,37.88653,12.979560000000001,2,DT13
DT1300832,37.88658,12.9795,2,DT13
DT1300831,37.88674,12.97943,2,DT13
DT1300830,37.887029999999996,12.97949,2,DT13
DT1300829,37.886990000000004,12.97969,2,DT13
DT1300828,37.88714,12.97977,2,DT13
DT1300827,37.881190000000004,12.97994,2,DT13
DT1300826,37.88685,12.98105,2,DT13
DT1300825,37.887370000000004,12.98125,2,DT13
DT1300824,37.88766,12.98108,2,DT13
DT1300823,37.892790000000005,12.979230000000001,2,DT13
DT1300822,37.897,12.97299,2,DT13
DT1300821,37.896879999999996,12.973289999999999,2,DT13
DT1300820,37.89705,12.97705,2,DT13
DT1300819,37.89711,12.9734,2,DT13
DT1300818,37.89788,12.97278,2,DT13
DT1300817,37.89758,12.9732,2,DT13
DT1301350,37.8974,12.97332,2,DT13
DT1300816,37.897940000000006,12.973310000000001,2,DT13
DT1300815,37.898070000000004,12.97349,2,DT13
DT1300814,37.898179999999996,12.97348,2,DT13
DT1202543,37.915729999999996,12.94437,1,DT12
DT1300813,37.898179999999996,12.97348,2,DT13
DT1300812,37.898759999999996,12.97315,2,DT13
DT1300811,37.89901,12.97349,2,DT13
DT1300810,37.899029999999996,12.973510000000001,2,DT13
DT1300809,37.89891,12.97325,2,DT13
DT1300808,37.89907,12.973239999999999,2,DT13
DT1301480,37.89867,12.97219,2,DT13
DT1300807,37.8988,12.97228,2,DT13
DT1300806,37.89713,12.97051,2,DT13
DT1300805,37.89713,12.970469999999999,2,DT13
DT1300804,37.8964,12.97083,2,DT13
DT1300803,37.8964,12.970999999999998,2,DT13
DT1300802,37.89638,12.97115,2,DT13
DT1301478,37.89654,12.97166,2,DT13
DT1301381,37.88712,12.97966,2,DT13
DT1300801,37.89655,12.97157,2,DT13
DT1301380,37.87978,12.98981,2,DT13
DT1300800,37.89659,12.971910000000001,2,DT13
DT1300799,37.89672,12.972000000000001,2,DT13
DT1300798,37.896770000000004,12.9721,2,DT13
DT1300797,37.89699,12.97236,2,DT13
DT1300796,37.89662,12.19235,2,DT13
DT1301479,37.89654,12.971219999999999,2,DT13
DT1300795,37.89669,12.97233,2,DT13
DT1301509,37.8914,12.97095,2,DT13
DT1300794,37.896679999999996,12.972539999999999,2,DT13
DT1300793,37.896390000000004,12.97289,2,DT13
